sensor_type,device_type,timestamps,x,y,z
linear_acceleration,smartphone,1024252570.9999999,-0.421299994,-0.43770000340000004,-0.9017999768000001
linear_acceleration,smartphone,2024252571.0,0.08209999651000001,-0.3956999779,1.086799979
linear_acceleration,smartphone,3024252571.0000005,0.4156000018,-0.07419999689,0.1515000015
linear_acceleration,smartphone,4157622916.0,0.5430999994,-0.4160999954,1.636699915
linear_acceleration,smartphone,5157622916.0,0.5389999746999999,0.3489999771,0.3792999983
linear_acceleration,smartphone,6157622916.0,1.0365999940000001,0.9979999661,0.35060000420000004
linear_acceleration,smartphone,7157622916.0,0.1964000016,0.01709999889,0.3267999887
linear_acceleration,smartphone,8157622916.000001,-1.12559998,0.6392999886999999,-0.24059998989999998
linear_acceleration,smartphone,9157622916.000002,0.09549999982000001,-1.1414999959999999,0.600300014
linear_acceleration,smartphone,10346742770.0,-0.04719999805,0.2678000033,0.2160999924
linear_acceleration,smartphone,11346742770.0,-0.1166999936,-0.08799999952,0.8946999907
linear_acceleration,smartphone,13310268230.0,-2.92419982,0.5181999803,6.2461996079999995
linear_acceleration,smartphone,14310268230.0,1.51759994,0.7089999914,-2.498999834
linear_acceleration,smartphone,15310268230.0,0.6577000022,-3.2219998839999997,0.1361999959
linear_acceleration,smartphone,16310268229.999998,0.7691999674,1.799099922,0.8001999854999999
linear_acceleration,smartphone,17310268230.0,-2.556399822,-0.06399999559,0.3075000048
linear_acceleration,smartphone,18310268230.0,0.3360999823,0.9065999985,-1.56219995
linear_acceleration,smartphone,19310268230.0,0.8421999812000001,0.8693000078,-1.367599964
linear_acceleration,smartphone,20310268230.0,0.9195999503,-0.5882999897,-0.9257999659
linear_acceleration,smartphone,21310268230.0,5.752299786,-3.031599998,5.625299931
linear_acceleration,smartphone,22310268230.0,-6.189799786,-0.7188999653,-5.608799933999999
linear_acceleration,smartphone,23310268230.0,-0.9230999947,-0.7430999875,-5.322499752
linear_acceleration,smartphone,24310268230.0,-0.6667999625,0.7868999839,-0.10329999769999999
linear_acceleration,smartphone,25310268230.0,0.8840999603,1.334499955,1.045599937
linear_acceleration,smartphone,26310268230.0,-0.5941999554999999,1.186699986,-1.289099932
linear_acceleration,smartphone,27310268230.0,0.5069999695,-0.5690000057,1.232299924
linear_acceleration,smartphone,28310268230.0,-0.4408999979,-0.9289000034,0.25819998980000003
linear_acceleration,smartphone,29310268230.0,-0.8789999485,0.26710000629999997,-0.4086000025
linear_acceleration,smartphone,30310268230.0,0.6200999618,0.09429999440999999,-0.5504999757
linear_acceleration,smartphone,31310268230.0,-0.6531999707,-0.2201000005,-1.165899992
linear_acceleration,smartphone,32310268230.0,2.769699812,1.0483000279999999,1.648499966
linear_acceleration,smartphone,33310268230.0,2.146899939,0.35189998149999996,2.154799938
linear_acceleration,smartphone,34310268230.0,-1.154099941,0.23420000079999997,-1.4065999980000001
linear_acceleration,smartphone,35310268230.0,0.2547999918,-1.675799966,1.599499941
linear_acceleration,smartphone,36310268230.0,0.15339998900000001,0.9257999659,-0.22259999809999997
linear_acceleration,smartphone,37310268230.0,-1.6471999880000001,-0.010099999609999999,-0.38650000100000004
linear_acceleration,smartphone,38310268230.0,-0.2744999826,0.4415999949,0.3517999947
linear_acceleration,smartphone,39310268230.0,-1.110999942,-1.042699933,-0.0903000012
linear_acceleration,smartphone,40310268230.0,2.753499985,-1.551199913,-3.7926998139999997
linear_acceleration,smartphone,41310268230.0,-0.7930999994,0.3798999786,-1.5296999219999998
linear_acceleration,smartphone,42310268230.0,1.529500008,0.2926999927,-2.202199936
linear_acceleration,smartphone,43310268230.0,0.7945999503,-0.3792999983,0.1612999886
linear_acceleration,smartphone,44310268230.0,0.9502999783,0.91049999,-2.53579998
linear_acceleration,smartphone,45310268230.0,-0.57099998,-0.3488999903,-0.13959999380000002
linear_acceleration,smartphone,46310268230.0,0.2040999979,0.07699999957999999,-0.2370999902
linear_acceleration,smartphone,47310268230.0,-0.02579999901,0.1856999993,1.251600027
linear_acceleration,smartphone,48310268230.0,0.11710000039999999,-0.043600000439999995,0.5261999964999999
linear_acceleration,smartphone,49310268230.0,0.246299997,0.5447999835,-0.08509999514000001
linear_acceleration,smartphone,50310268230.0,0.5558999777,-1.3582999709999999,1.12379992
linear_acceleration,smartphone,51310268230.0,-1.202399969,0.013499999419999999,-0.7109999656999999
linear_acceleration,smartphone,52310268230.0,-0.46719998119999995,-0.05700000003,0.3694999814
linear_acceleration,smartphone,53310268230.0,-0.41439998149999996,0.3204999864,-0.72299999
linear_acceleration,smartphone,54310268230.0,-1.4510999919999998,-0.7529999614,6.220999718
linear_acceleration,smartphone,55310268230.0,0.158799991,0.3457999825,1.613499999
linear_acceleration,smartphone,56310268230.0,-0.8544999956999999,-0.007999999449,1.4936000109999998
linear_acceleration,smartphone,57310268230.0,-0.4095999897,-0.6924999951999999,1.39169991
linear_acceleration,smartphone,58310268230.0,-0.268599987,0.5539999604,-1.888199925
linear_acceleration,smartphone,59310268230.0,0.9254999757,-1.879399896,1.047399998
linear_acceleration,smartphone,60310268230.0,-1.0766999720000001,0.510899961,-0.7520999908
linear_acceleration,smartphone,61310268230.0,1.054499984,1.478500009,-1.876699924
linear_acceleration,smartphone,62310268230.0,0.006699999793999999,0.4010999799,-0.5045999885
linear_acceleration,smartphone,63310268230.0,-0.4904999733,0.5252999663,0.08049999923
linear_acceleration,smartphone,64310268230.00001,0.07140000165,0.46759998799999997,-0.43239998820000003
linear_acceleration,smartphone,65310268230.00001,-0.7700999975,0.5444999933,-1.179299951
linear_acceleration,smartphone,66310268230.00001,0.32490000129999996,-0.1272999942,0.2454999983
linear_acceleration,smartphone,67310268230.00001,-0.007299999706,0.07099999487000001,0.04679999872999999
linear_acceleration,smartphone,68310268230.00001,-0.3273999989,0.2949000001,0.1112999991
linear_acceleration,smartphone,69310268230.0,-0.1180000007,-0.1252000034,0.9638999701000001
linear_acceleration,smartphone,70310268230.0,-0.1921999902,0.1868999898,0.033199999480000006
linear_acceleration,smartphone,71310268230.0,-0.14599999789999998,0.00569999963,-0.2558999956
linear_acceleration,smartphone,72310268230.0,0.1982999891,0.23839999739999998,-0.16380000109999998
linear_acceleration,smartphone,73310268230.0,-0.0262000002,-0.046399999410000003,0.4059999883
linear_acceleration,smartphone,74310268230.0,0.1184,0.01489999983,0.1451999992
linear_acceleration,smartphone,75310268230.0,0.1741999984,-0.1081999987,0.12329999359999999
linear_acceleration,smartphone,76310268230.0,-0.032099999489999996,0.07339999825,0.07580000162
linear_acceleration,smartphone,77310268230.0,-0.4253999889,0.5874999761999999,0.1463999897
linear_acceleration,smartphone,78310268230.0,1.913199902,0.22759999329999997,-3.042099953
linear_acceleration,smartphone,79310268230.0,-0.8222000003000001,1.010200024,0.3534999788
linear_acceleration,smartphone,80310268230.0,-0.7543999553,0.1193000004,0.9085999726999999
linear_acceleration,smartphone,81310268230.0,0.8657999635,-0.02679999918,-0.3696999848
linear_acceleration,smartphone,82310268230.0,0.24379999940000002,-0.46529999380000003,0.1527999938
linear_acceleration,smartphone,83310268230.0,-0.9309999943,0.4730999768,2.541199923
linear_acceleration,smartphone,84310268230.0,-1.417999983,0.1182999983,2.158299923
linear_acceleration,smartphone,85310268230.0,-0.06639999896000001,-0.05689999834,0.8731999993
linear_acceleration,smartphone,86310268230.0,-0.2292999923,0.7892000079000001,0.2924999893
linear_acceleration,smartphone,87310268230.0,-0.8095999956000001,-0.5799999833,0.05419999734
linear_acceleration,smartphone,88310268230.0,-0.3467999995,-0.1406999975,-0.7387999892
linear_acceleration,smartphone,89310268230.0,-0.5119999647,0.2079999894,-0.7232999802
linear_acceleration,smartphone,90310268230.0,0.03379999846,0.5794999599,-2.129199982
linear_acceleration,smartphone,91310268230.0,-1.271999955,-0.2867999971,1.72149992
linear_acceleration,smartphone,92310268230.0,-1.612900019,-0.09809999912999999,1.817600012
linear_acceleration,smartphone,93310268230.0,-0.117399998,-0.09380000085000001,-1.354900002
linear_acceleration,smartphone,94310268230.0,0.8860999942,0.9734999537000001,-0.6017000079
linear_acceleration,smartphone,95310268230.0,-0.8693999648,0.44799998399999996,-1.425999999
linear_acceleration,smartphone,96310268230.0,1.040799975,-0.07559999824,0.1843999922
linear_acceleration,smartphone,97310268230.0,-0.6712999940000001,0.6706999539999999,0.4615999758
linear_acceleration,smartphone,98310268230.0,-0.1728999913,0.2307000011,0.6216999888
linear_acceleration,smartphone,99310268230.0,0.2184000015,-0.5181999803,-0.2926999927
linear_acceleration,smartphone,100310268200.0,0.2145999968,-1.064599991,2.137099981
linear_acceleration,smartphone,101310268200.0,-1.845499992,-0.24929998820000002,0.10669999570000001
linear_acceleration,smartphone,102310268200.0,1.195899963,0.3231000006,-0.635800004
linear_acceleration,smartphone,103310268200.0,-0.175699994,0.3889999986,-0.1914999932
linear_acceleration,smartphone,104310268200.0,0.6737999915999999,-0.36089998479999996,0.7707999945
linear_acceleration,smartphone,105310268200.0,-0.03130000085,0.3208000064,-1.025200009
linear_acceleration,smartphone,106310268200.0,0.005799999926,0.537800014,0.0672999993
linear_acceleration,smartphone,107310268200.0,-0.5461999774,0.0449000001,-0.002300000051
linear_acceleration,smartphone,108310268200.0,-1.129099965,-0.4140999913,1.011799932
linear_acceleration,smartphone,109310268200.0,0.9869999886,0.105399996,0.1208999977
linear_acceleration,smartphone,110310268200.0,-0.3940999806,0.11429999769999999,0.05909999832999999
linear_acceleration,smartphone,111310268200.0,-0.04389999807,0.6186999679,-0.5004999638000001
linear_acceleration,smartphone,112310268200.0,0.1815000027,0.442599982,0.19739998879999998
linear_acceleration,smartphone,113310268200.0,-1.844499946,0.4468999803,0.6897999644
linear_acceleration,smartphone,114310268200.0,0.47299999,0.9932000041,-0.231099993
linear_acceleration,smartphone,115310268200.0,0.1903999895,-0.4206999838,0.23559999469999998
linear_acceleration,smartphone,116310268200.0,-0.007699999958,-1.197199941,-0.5275999903999999
linear_acceleration,smartphone,117310268200.0,-0.4038999975,0.4987999797,0.20419999960000002
linear_acceleration,smartphone,118310268200.0,-0.7667999864,0.36559998990000003,-1.055799961
linear_acceleration,smartphone,119310268200.0,-1.671999931,-0.17620000239999997,1.5552999969999999
linear_acceleration,smartphone,120310268200.0,0.8366000056,0.42599999899999996,0.139200002
linear_acceleration,smartphone,121310268200.0,1.08920002,-0.9162999987999999,-0.3319999874
linear_acceleration,smartphone,122310268200.0,0.2629999816,0.00829999987,0.4159999788
linear_acceleration,smartphone,123310268200.0,-0.7742999792,0.7324000001000001,-0.1636999995
linear_acceleration,smartphone,124310268200.0,-2.009899855,0.5392000079,0.7403999567
linear_acceleration,smartphone,125310268200.0,0.904499948,0.7150999904,-2.483899832
linear_acceleration,smartphone,126310268200.0,1.062600017,-0.5044999719,-0.049899999050000005
linear_acceleration,smartphone,127310268200.0,0.2208999991,-0.4136999846,0.7252999544
